id,benefits,resources,mhd,coworker_chat,support_options,age,sex,race
1,Yes,,,,No,37.0,Female,
2,Don't know,,,,No,44.0,Male,
3,No,,,,No,32.0,Male,
4,No,,,,No,31.0,Male,
5,Yes,,,,Yes,31.0,Male,
6,Yes,,,,No,33.0,Male,
7,No,,,,Yes,35.0,Female,
8,No,,,,Yes,39.0,Male,
9,Yes,,,,No,42.0,Female,
10,Don't know,,,,No,23.0,Male,
11,Don't know,,,,Yes,31.0,Male,
12,Don't know,,,,Yes,29.0,Male,
13,Yes,,,,No,42.0,Female,
14,Don't know,,,,No,36.0,Male,
15,Don't know,,,,No,27.0,Male,
16,Yes,,,,No,29.0,Female,
17,Don't know,,,,Yes,23.0,Male,
18,Yes,,,,No,32.0,Male,
19,Yes,,,,Yes,46.0,Male,
20,No,,,,Yes,36.0,Male,
21,Yes,,,,No,29.0,Male,
22,No,,,,Yes,31.0,Male,
23,Yes,,,,Yes,46.0,Male,
24,Don't know,,,,No,41.0,Male,
25,Yes,,,,No,33.0,Male,
26,Yes,,,,No,35.0,Male,
27,Don't know,,,,No,33.0,Male,
28,Yes,,,,Yes,35.0,Female,
29,Don't know,,,,Yes,34.0,Male,
30,No,,,,No,37.0,Male,
31,No,,,,Yes,32.0,Male,
32,No,,,,Yes,31.0,Male,
33,Don't know,,,,Yes,30.0,Male,
34,Yes,,,,Yes,42.0,Male,
35,Yes,,,,No,40.0,Female,
36,No,,,,No,27.0,Male,
37,No,,,,No,29.0,Male,
38,No,,,,No,38.0,Male,
39,Yes,,,,No,50.0,Male,
40,Yes,,,,Yes,35.0,Male,
41,No,,,,No,24.0,Male,
42,Yes,,,,Yes,35.0,Male,
43,No,,,,No,27.0,Male,
45,Don't know,,,,No,30.0,Male,
46,Yes,,,,No,38.0,Female,
47,Don't know,,,,No,28.0,Male,
48,No,,,,No,34.0,Male,
49,No,,,,No,26.0,Male,
50,Yes,,,,No,30.0,Male,
51,No,,,,No,22.0,Male,
52,Don't know,,,,Yes,33.0,Male,
53,Don't know,,,,Yes,31.0,Male,
54,Don't know,,,,Yes,32.0,Male,
55,No,,,,No,28.0,Male,
56,Yes,,,,No,27.0,Others,
57,Don't know,,,,Yes,32.0,Male,
58,Don't know,,,,Yes,24.0,Male,
59,No,,,,No,26.0,Male,
60,Don't know,,,,Yes,33.0,Male,
61,Yes,,,,No,44.0,Male,
62,Don't know,,,,Yes,26.0,Female,
63,Yes,,,,No,27.0,Male,
64,No,,,,No,26.0,Male,
65,Don't know,,,,No,35.0,Male,
66,Yes,,,,Yes,40.0,Male,
67,No,,,,Yes,23.0,Female,
68,Yes,,,,Yes,36.0,Male,
69,Don't know,,,,Yes,31.0,Female,
70,No,,,,Yes,34.0,Male,
71,No,,,,No,28.0,Male,
72,Don't know,,,,No,34.0,Male,
73,Yes,,,,No,23.0,Others,
74,No,,,,No,38.0,Male,
75,Don't know,,,,No,33.0,Male,
76,No,,,,No,19.0,Male,
77,Yes,,,,Yes,25.0,Male,
78,No,,,,Yes,31.0,Male,
79,No,,,,Yes,32.0,Male,
80,Don't know,,,,Yes,28.0,Male,
81,Yes,,,,Yes,38.0,Male,
82,Yes,,,,No,23.0,Male,
83,No,,,,No,30.0,Male,
84,Yes,,,,Yes,27.0,Female,
85,No,,,,No,33.0,Male,
86,Don't know,,,,No,31.0,Male,
87,No,,,,No,39.0,Male,
88,Yes,,,,Yes,34.0,Female,
89,Yes,,,,No,29.0,Female,
90,Don't know,,,,No,32.0,Male,
91,Yes,,,,No,31.0,Male,
92,No,,,,No,40.0,Male,
93,Don't know,,,,No,34.0,Male,
95,Yes,,,,No,25.0,Female,
96,Don't know,,,,No,29.0,Male,
97,Don't know,,,,No,24.0,Male,
98,Don't know,,,,No,31.0,Male,
99,No,,,,No,33.0,Male,
100,No,,,,No,30.0,Male,
101,No,,,,No,26.0,Female,
102,Yes,,,,No,44.0,Female,
103,Don't know,,,,No,25.0,Male,
104,Yes,,,,Yes,33.0,Male,
105,Yes,,,,No,29.0,Male,
106,Yes,,,,No,35.0,Male,
107,Don't know,,,,Yes,35.0,Male,
108,No,,,,No,28.0,Male,
109,Yes,,,,Yes,34.0,Male,
110,Yes,,,,No,32.0,Male,
111,Yes,,,,No,22.0,Male,
112,Yes,,,,No,28.0,Male,
113,Yes,,,,Yes,45.0,Male,
114,Yes,,,,No,32.0,Male,
115,Don't know,,,,No,28.0,Male,
116,Don't know,,,,No,26.0,Male,
117,No,,,,Yes,21.0,Male,
118,Yes,,,,No,27.0,Male,
120,Don't know,,,,Yes,35.0,Male,
121,Yes,,,,No,29.0,Male,
